| Package                               | License             | Repository                                                         |
| ------------------------------------- | ------------------- | ------------------------------------------------------------------ |
| spdx-ranges@2.1.1                     | (MIT AND CC-BY-3.0) | https://github.com/kemitchell/spdx-ranges.js                       |
| spdx-correct@3.2.0                    | Apache-2.0          | https://github.com/jslicense/spdx-correct.js                       |
| validate-npm-package-license@3.0.4    | Apache-2.0          | https://github.com/kemitchell/validate-npm-package-license.js      |
| jackspeak@4.1.1                       | BlueOak-1.0.0       | https://github.com/isaacs/jackspeak                                |
| minimatch@10.1.1                      | BlueOak-1.0.0       | https://github.com/isaacs/minimatch                                |
| package-json-from-dist@1.0.1          | BlueOak-1.0.0       | https://github.com/isaacs/package-json-from-dist                   |
| path-scurry@2.0.1                     | BlueOak-1.0.0       | https://github.com/isaacs/path-scurry                              |
| rimraf@6.1.0                          | BlueOak-1.0.0       | https://github.com/isaacs/rimraf                                   |
| normalize-package-data@2.5.0          | BSD-2-Clause        | https://github.com/npm/normalize-package-data                      |
| license-checker@25.0.1                | BSD-3-Clause        | https://github.com/davglass/license-checker                        |
| spdx-exceptions@2.5.0                 | CC-BY-3.0           | https://github.com/kemitchell/spdx-exceptions.json                 |
| spdx-license-ids@3.0.22               | CC0-1.0             | https://github.com/jslicense/spdx-license-ids                      |
| @isaacs/cliui@8.0.2                   | ISC                 | https://github.com/yargs/cliui                                     |
| abbrev@1.1.1                          | ISC                 | https://github.com/isaacs/abbrev-js                                |
| dezalgo@1.0.4                         | ISC                 | https://github.com/npm/dezalgo                                     |
| foreground-child@3.3.1                | ISC                 | https://github.com/tapjs/foreground-child                          |
| fs.realpath@1.0.0                     | ISC                 | https://github.com/isaacs/fs.realpath                              |
| glob@11.0.3                           | ISC                 | https://github.com/isaacs/node-glob                                |
| glob@7.2.3                            | ISC                 | https://github.com/isaacs/node-glob                                |
| graceful-fs@4.2.11                    | ISC                 | https://github.com/isaacs/node-graceful-fs                         |
| hosted-git-info@2.8.9                 | ISC                 | https://github.com/npm/hosted-git-info                             |
| inflight@1.0.6                        | ISC                 | https://github.com/npm/inflight                                    |
| inherits@2.0.4                        | ISC                 | https://github.com/isaacs/inherits                                 |
| isexe@2.0.0                           | ISC                 | https://github.com/isaacs/isexe                                    |
| lru-cache@11.2.2                      | ISC                 | https://github.com/isaacs/node-lru-cache                           |
| minimatch@3.1.2                       | ISC                 | https://github.com/isaacs/minimatch                                |
| minipass@7.1.2                        | ISC                 | https://github.com/isaacs/minipass                                 |
| nopt@4.0.3                            | ISC                 | https://github.com/npm/nopt                                        |
| npm-normalize-package-bin@1.0.1       | ISC                 | https://github.com/npm/npm-normalize-package-bin                   |
| once@1.4.0                            | ISC                 | https://github.com/isaacs/once                                     |
| osenv@0.1.5                           | ISC                 | https://github.com/npm/osenv                                       |
| read-installed@4.0.3                  | ISC                 | https://github.com/isaacs/read-installed                           |
| read-package-json@2.1.2               | ISC                 | https://github.com/npm/read-package-json                           |
| readdir-scoped-modules@1.1.0          | ISC                 | https://github.com/npm/readdir-scoped-modules                      |
| semver@5.7.2                          | ISC                 | https://github.com/npm/node-semver                                 |
| signal-exit@4.1.0                     | ISC                 | https://github.com/tapjs/signal-exit                               |
| slide@1.1.6                           | ISC                 | https://github.com/isaacs/slide-flow-control                       |
| which@2.0.2                           | ISC                 | https://github.com/isaacs/node-which                               |
| wrappy@1.0.2                          | ISC                 | https://github.com/npm/wrappy                                      |
| @isaacs/balanced-match@4.0.1          | MIT                 | https://github.com/isaacs/balanced-match                           |
| @isaacs/brace-expansion@5.0.0         | MIT                 | n/a                                                                |
| ansi-regex@5.0.1                      | MIT                 | https://github.com/chalk/ansi-regex                                |
| ansi-regex@6.2.2                      | MIT                 | https://github.com/chalk/ansi-regex                                |
| ansi-styles@3.2.1                     | MIT                 | https://github.com/chalk/ansi-styles                               |
| ansi-styles@4.3.0                     | MIT                 | https://github.com/chalk/ansi-styles                               |
| ansi-styles@6.2.3                     | MIT                 | https://github.com/chalk/ansi-styles                               |
| array-find-index@1.0.2                | MIT                 | https://github.com/sindresorhus/array-find-index                   |
| asap@2.0.6                            | MIT                 | https://github.com/kriskowal/asap                                  |
| balanced-match@1.0.2                  | MIT                 | https://github.com/juliangruber/balanced-match                     |
| brace-expansion@1.1.12                | MIT                 | https://github.com/juliangruber/brace-expansion                    |
| chalk@2.4.2                           | MIT                 | https://github.com/chalk/chalk                                     |
| color-convert@1.9.3                   | MIT                 | https://github.com/Qix-/color-convert                              |
| color-convert@2.0.1                   | MIT                 | https://github.com/Qix-/color-convert                              |
| color-name@1.1.3                      | MIT                 | https://github.com/dfcreative/color-name                           |
| color-name@1.1.4                      | MIT                 | https://github.com/colorjs/color-name                              |
| concat-map@0.0.1                      | MIT                 | https://github.com/substack/node-concat-map                        |
| cross-spawn@7.0.6                     | MIT                 | https://github.com/moxystudio/node-cross-spawn                     |
| debug@3.2.7                           | MIT                 | https://github.com/visionmedia/debug                               |
| debuglog@1.0.1                        | MIT                 | https://github.com/sam-github/node-debuglog                        |
| eastasianwidth@0.2.0                  | MIT                 | https://github.com/komagata/eastasianwidth                         |
| emoji-regex@8.0.0                     | MIT                 | https://github.com/mathiasbynens/emoji-regex                       |
| emoji-regex@9.2.2                     | MIT                 | https://github.com/mathiasbynens/emoji-regex                       |
| escape-string-regexp@1.0.5            | MIT                 | https://github.com/sindresorhus/escape-string-regexp               |
| function-bind@1.1.2                   | MIT                 | https://github.com/Raynos/function-bind                            |
| has-flag@3.0.0                        | MIT                 | https://github.com/sindresorhus/has-flag                           |
| hasown@2.0.2                          | MIT                 | https://github.com/inspect-js/hasOwn                               |
| is-core-module@2.16.1                 | MIT                 | https://github.com/inspect-js/is-core-module                       |
| is-fullwidth-code-point@3.0.0         | MIT                 | https://github.com/sindresorhus/is-fullwidth-code-point            |
| json-parse-even-better-errors@2.3.1   | MIT                 | https://github.com/npm/json-parse-even-better-errors               |
| minimist@1.2.8                        | MIT                 | https://github.com/minimistjs/minimist                             |
| mkdirp@0.5.6                          | MIT                 | https://github.com/substack/node-mkdirp                            |
| ms@2.1.3                              | MIT                 | https://github.com/vercel/ms                                       |
| os-homedir@1.0.2                      | MIT                 | https://github.com/sindresorhus/os-homedir                         |
| os-tmpdir@1.0.2                       | MIT                 | https://github.com/sindresorhus/os-tmpdir                          |
| path-is-absolute@1.0.1                | MIT                 | https://github.com/sindresorhus/path-is-absolute                   |
| path-key@3.1.1                        | MIT                 | https://github.com/sindresorhus/path-key                           |
| path-parse@1.0.7                      | MIT                 | https://github.com/jbgutierrez/path-parse                          |
| resolve@1.22.11                       | MIT                 | https://github.com/browserify/resolve                              |
| shebang-command@2.0.0                 | MIT                 | https://github.com/kevva/shebang-command                           |
| shebang-regex@3.0.0                   | MIT                 | https://github.com/sindresorhus/shebang-regex                      |
| spdx-compare@1.0.0                    | MIT                 | https://github.com/kemitchell/spdx-compare.js                      |
| spdx-expression-parse@3.0.1           | MIT                 | https://github.com/jslicense/spdx-expression-parse.js              |
| spdx-satisfies@4.0.1                  | MIT                 | https://github.com/kemitchell/spdx-satisfies.js                    |
| string-width@4.2.3                    | MIT                 | https://github.com/sindresorhus/string-width                       |
| string-width@5.1.2                    | MIT                 | https://github.com/sindresorhus/string-width                       |
| strip-ansi@6.0.1                      | MIT                 | https://github.com/chalk/strip-ansi                                |
| strip-ansi@7.1.2                      | MIT                 | https://github.com/chalk/strip-ansi                                |
| supports-color@5.5.0                  | MIT                 | https://github.com/chalk/supports-color                            |
| supports-preserve-symlinks-flag@1.0.0 | MIT                 | https://github.com/inspect-js/node-supports-preserve-symlinks-flag |
| treeify@1.1.0                         | MIT                 | https://github.com/notatestuser/treeify                            |
| util-extend@1.0.3                     | MIT                 | https://github.com/isaacs/util-extend                              |
| wrap-ansi@7.0.0                       | MIT                 | https://github.com/chalk/wrap-ansi                                 |
| wrap-ansi@8.1.0                       | MIT                 | https://github.com/chalk/wrap-ansi                                 |
